Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
St. Kitts and Nevis,5.86,7.71,21.15,22.97,24.74,34.00,49.00,52.00,60.00,69.00,76.00,77.60,79.35
St. Lucia,5.09,8.18,14.64,20.98,21.40,21.57,24.50,27.90,32.00,36.00,43.30,45.00,48.63
St. Pierre & Miquelon,,,,,,,,,,,,,
St. Vincent and the Grenadines,3.25,5.09,5.55,6.46,7.37,9.20,12.00,16.00,21.00,31.00,38.50,43.01,47.52
Sudan,0.03,0.14,0.44,0.54,0.79,1.29,,8.66,,,16.70,19.00,21.00
Suriname,2.51,3.06,4.16,4.72,6.08,6.40,9.50,14.11,21.06,31.36,31.59,32.00,34.68
Swaziland,0.93,1.28,1.82,2.44,3.23,3.70,3.70,4.10,6.85,8.94,11.04,18.13,20.78
Sweden,45.69,51.77,70.57,79.13,83.89,84.83,87.76,82.01,90.00,91.00,90.00,94.00,94.00
Switzerland,47.10,55.10,61.40,65.10,67.80,70.10,75.70,77.20,79.20,81.30,83.90,85.20,85.20
Syria,0.18,0.35,2.09,3.40,4.32,5.65,7.83,,14.00,17.30,20.70,22.50,24.30
"Taiwan, Province of China",28.10,34.90,47.60,51.94,53.81,58.01,63.68,64.45,65.84,69.90,71.50,72.00,75.99
Tajikistan,0.05,0.05,0.06,0.06,0.08,0.30,3.77,7.20,8.78,10.07,11.55,13.03,14.51
Tanzania,0.12,0.17,0.22,0.68,0.88,4.30,5.80,7.20,9.00,10.00,11.00,12.00,13.08
TFYR Macedonia,2.49,3.47,17.33,19.07,24.44,26.45,28.62,36.30,46.04,51.77,51.90,56.70,63.15
Thailand,3.69,5.56,7.53,9.30,10.68,15.03,17.16,20.03,18.20,20.10,22.40,23.70,26.50
Timor-Leste,,,0.00,,,0.10,0.12,0.14,0.16,0.19,0.21,0.90,0.91
Togo,0.80,0.90,1.00,1.20,1.50,1.80,2.00,2.20,2.40,2.60,3.00,3.50,4.00
Tokelau,,,,1.50,,,,,,,,,
Tonga,2.43,2.83,2.91,2.99,3.95,4.91,5.85,7.18,8.11,10.00,16.00,25.00,34.86
Trinidad & Tobago,7.72,15.38,22.00,25.97,27.02,28.98,30.00,32.30,34.80,44.30,48.50,55.20,59.52
Tunisia,2.75,4.30,5.25,6.49,8.53,9.66,12.99,17.10,27.53,34.07,36.80,39.10,41.44
Turkey,3.76,5.19,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.40,39.82,43.07,45.13
Turkmenistan,0.13,0.18,0.30,0.43,0.75,1.00,1.32,1.41,1.75,1.95,3.00,5.00,7.20
Turks & Caicos Is.,,,,,,,,,,,,,
Tuvalu,5.24,,,,,,,10.00,15.00,20.00,25.00,30.00,35.00
Uganda,0.16,0.24,0.38,0.46,0.72,1.74,2.53,3.67,7.90,9.78,12.50,13.01,14.69
Ukraine,0.72,1.24,1.87,3.15,3.49,3.75,4.51,6.55,11.00,17.90,23.30,28.71,33.70
United Arab Emirates,23.63,26.27,28.32,29.48,30.13,40.00,52.00,61.00,63.00,64.00,68.00,78.00,85.00
United Kingdom,26.82,33.48,56.48,64.82,65.61,70.00,68.82,75.09,78.39,83.56,85.00,86.84,87.02
United States,43.08,49.08,58.79,61.70,64.76,67.97,68.93,75.00,74.00,71.00,74.00,77.86,81.03
Uruguay,10.54,11.12,11.42,15.94,17.06,20.09,29.40,34.00,39.30,41.80,46.40,51.40,55.11
Uzbekistan,0.48,0.60,1.08,1.91,2.59,3.34,6.39,7.49,9.08,17.06,20.00,30.20,36.52
Vanuatu,2.11,2.83,3.51,3.90,4.75,5.08,5.85,6.80,7.27,7.50,8.00,9.20,10.60
Vatican,,,,,,,,,,,,,
Venezuela,3.36,4.64,4.91,7.50,8.40,12.55,15.22,20.83,25.88,32.70,37.37,40.22,44.05
Viet Nam,0.25,1.27,1.85,3.78,7.64,12.74,17.25,20.76,23.92,26.55,30.65,35.07,39.49
Virgin Islands (US),13.82,18.38,27.49,27.43,27.38,27.34,27.33,27.34,27.36,27.40,31.22,35.60,40.55
Wallis and Futuna,4.77,5.09,5.42,5.74,6.06,6.70,7.33,7.95,8.22,6.76,8.16,8.68,8.95
Yemen,0.08,0.09,0.52,0.60,0.88,1.05,1.25,5.01,6.89,9.96,12.35,14.91,17.45
Zambia,0.19,0.23,0.48,0.98,2.01,2.85,4.16,4.87,5.55,6.31,10.00,11.50,13.47
Zimbabwe,0.40,0.80,3.99,6.39,6.56,8.02,9.79,10.85,11.40,11.36,11.50,15.70,17.09
